Date,Ticker,Name,Sector
2012-01-01,PLD,Prologis Inc,Real Estate
2012-01-01,PM,Philip Morris International Inc,Consumer Staples
2012-01-01,PNC,PNC Financial Services Group Inc/The,Financials
2012-01-01,PNW,Pinnacle West Capital Corp,Utilities
2012-01-01,POM,Pepco Holdings LLC,Utilities
2012-01-01,PPG,PPG Industries Inc,Materials
2012-01-01,PPL,PPL Corp,Utilities
2012-01-01,PRGO,Perrigo Co PLC,Health Care
2012-01-01,PRU,Prudential Financial Inc,Financials
2012-01-01,PSA,Public Storage,Real Estate
2012-01-01,PWR,Quanta Services Inc,Industrials
2012-01-01,PX,Praxair Inc,Materials
2012-01-01,PXD,Pioneer Natural Resources Co,Energy
2012-01-01,QCOM,QUALCOMM Inc,Information Technology
2012-01-01,QEP,QEP Resources Inc,Energy
2012-01-01,R,Ryder System Inc,Industrials
2012-01-01,RAI,Reynolds American Inc,Consumer Staples
2012-01-01,RDC,Rowan Cos Ltd,Energy
2012-01-01,RF,Regions Financial Corp,Financials
2012-01-01,RHI,Robert Half International Inc,Industrials
2012-01-01,RHT,Red Hat Inc,Information Technology
2012-01-01,RL,Ralph Lauren Corp,Consumer Discretionary
2012-01-01,ROK,Rockwell Automation Inc,Industrials
2012-01-01,ROP,Roper Technologies Inc,Industrials
2012-01-01,ROST,Ross Stores Inc,Consumer Discretionary
2012-01-01,RRC,Range Resources Corp,Energy
2012-01-01,RRD,RR Donnelley & Sons Co,Industrials
2012-01-01,RSG,Republic Services Inc,Industrials
2012-01-01,RTN,Raytheon Co,Industrials
2012-01-01,SBUX,Starbucks Corp,Consumer Discretionary
2012-01-01,SCG,SCANA Corp,Utilities
2012-01-01,SCHW,Charles Schwab Corp/The,Financials
2012-01-01,SEE,Sealed Air Corp,Materials
2012-01-01,SHLDQ,Sears Holdings Corp,Consumer Discretionary
2012-01-01,SHW,Sherwin-Williams Co/The,Materials
2012-01-01,SIAL,Sigma-Aldrich Corp,Materials
2012-01-01,SJM,JM Smucker Co/The,Consumer Staples
2012-01-01,SLB,Schlumberger Ltd,Energy
2012-01-01,SLM,SLM Corp,Financials
2012-01-01,SNA,Snap-on Inc,Industrials
2012-01-01,SNDK,SanDisk LLC,Information Technology
2012-01-01,SNI,Scripps Networks Interactive Inc,Communication Services
2012-01-01,SO,Southern Co/The,Utilities
2012-01-01,SPG,Simon Property Group Inc,Real Estate
2012-01-01,SPGI,S&P Global Inc,Financials
2012-01-01,SPLS,Staples Inc,Consumer Discretionary
2012-01-01,SRCL,Stericycle Inc,Industrials
2012-01-01,SRE,Sempra Energy,Utilities
2012-01-01,STI,SunTrust Banks Inc,Financials
2012-01-01,STJ,St Jude Medical Inc,Health Care
2012-01-01,STT,State Street Corp,Financials
2012-01-01,STZ,Constellation Brands Inc,Consumer Staples
2012-01-01,SVU,SUPERVALU Inc,Consumer Staples
2012-01-01,SWK,Stanley Black & Decker Inc,Industrials
2012-01-01,SWN,Southwestern Energy Co,Energy
2012-01-01,SWY,Safeway Inc,Consumer Staples
2012-01-01,SYK,Stryker Corp,Health Care
2012-01-01,SYY,Sysco Corp,Consumer Staples
2012-01-01,T,AT&T Inc,Communication Services
2012-01-01,TAP,Molson Coors Beverage Co,Consumer Staples
